Title,Author,Category,Start,End,Published,Notes
The Drama of the Gifted Child,Alice Miller,,to read,,,
When the Body Says No,Gabor Maté,,to read,,,
The Beginning of Infinity: Explanations That Transform the World,David Deutsch,,to read,,,
Good Luck: Creating the Conditions for Success in Life and Business,Álex Rovira Celma,Self-help,to read,,,
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,,to read,,,
The 4-Hour Workweek,Timothy Ferriss,Self-help,to read,,,
The Mythical Man-Month,Frederick P. Brooks Jr.,,to read,,,
The War of Art,Steven Pressfield,,to read,,,
Poor Charlie's Almanack,Charles T. Munger,,to read,,,
The Effective Executive,Peter F. Drucker,,to read,,,
Getting the Love You Want: A Guide for Couples,Harville Hendrix,,to read,,,
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,,to read,,,
Introduction to Mathematical Philosophy,Bertrand Russell,,to read,,,
About Face: Odyssey Of An American Warrior,"David H. Hackworth, Julie Sherman",,to read,,,
Why We Get Fat,,,to consider,,,
Surrounded by Idiots,Thomas Erikson,Self-help,to consider,,,
Map and Territory,Eliezer Yudkowsky,Science > Behavioral Sciences > Cognitive Psychology,to consider,,,
The Rust Programming Language,,IT > Programming,to consider,,,
A New Kind of Science,Stephen Wolfram,Science > Physics > Fundamental Theory,to consider,,2002,
A Project to Find the Fundamental Theory of Physics,Stephen Wolfram,Science > Physics > Fundamental Theory,to consider,,2020,
Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll,Science > Physics > Quantum Machanics,to consider,,,
Natural Philosophy of Cause and Chance,Max Born,Science > Physics > Quantum Machanics,to consider,,,
The Man Who Was Afraid To Live,Miguel Angel Montero,,to consider,,,
Why Nations Fail,"Daron Acemoğlu, James Alan Robinson",,to consider,,,
Dialogi,Konfucjusz,,to consider,,,
The Fabric of Reality,David Deutsch,,to consider,,,
Report to ACM: First Glossary of Programming Terminology,Grace Hopper,IT > Programming,to consider,,,
IEEE Standard Glossary of Software Engineering Terminology,IEEE,IT > Programming,to consider,,,
Software metrics,Tom Gilb,IT > Programming,to consider,,,
Extreme programming,Kent Beck,IT > Programming,to consider,,,
The art of computer programming,Donald Knuth,IT > Programming,to consider,,,
Faster than light,Robert J. Nemiroff,,to consider,,,
